,Region,Procedures,Provider State,Provider Name,Count_of_services,Charges,Payment,Cluster_24
0,AK - Anchorage,100,1,9,31406,9427445.5382027,3390445.914751549,3
1,AL - Birmingham,127,2,40,166237,68364062.79192254,14648212.18689604,12
2,AL - Dothan,122,3,10,43700,9561883.105790457,2419670.089458159,10
3,AL - Huntsville,125,2,8,71691,11754072.525046729,3090569.663043358,4
4,AL - Mobile,125,2,14,70394,16193817.950668745,4256181.713232919,7
5,AL - Montgomery,119,1,12,26109,9319737.637543248,2804767.3220184203,1
6,AL - Tuscaloosa,121,1,7,33764,4588872.497278083,1447332.8721013207,1
7,AR - Fort Smith,118,2,8,69493,5995093.210041057,1918826.5533992308,4
8,AR - Jonesboro,118,2,5,31636,5271890.772913643,2056521.592449129,4
9,AR - Little Rock,130,1,25,240441,32596453.58010602,9623706.347595016,19
10,AR - Springdale,116,1,6,40575,8935228.665643401,2315556.0556688225,1
11,AR - Texarkana,111,3,5,22277,6302477.406816206,1690773.99409277,10
12,AZ - Mesa,122,1,11,56144,23080305.9089106,4834639.4636644125,18
13,AZ - Phoenix,128,2,35,170938,60301659.93021447,16254194.665746732,12
14,AZ - Sun City,118,1,2,18704,8406122.880847495,1648221.9680665617,1
15,AZ - Tucson,127,1,10,101071,20816101.307335626,5604352.120813035,18
16,CA - Alameda County,121,1,11,45697,40981827.1327576,7249977.96723094,18
17,CA - Bakersfield,120,1,11,41855,25106612.282308657,5395300.312574472,18
18,CA - Chico,120,1,4,56714,13998395.74143328,2343793.0126571488,1
19,CA - Contra Costa County,119,1,9,41819,35813573.635072604,5028276.411001931,18
20,CA - Fresno,126,1,9,42883,15207663.464017032,4233977.623407238,13
21,CA - Los Angeles,130,1,80,505020,251071326.04990634,47115949.35697993,9
22,CA - Modesto,118,1,8,46598,30998665.917606875,4624880.234690065,18
23,CA - Napa,96,1,3,14739,10171266.799191087,1876214.8846995507,3
24,CA - Orange County,127,1,25,177622,60036456.39916126,11259767.537001878,5
25,CA - Palm Springs/Rancho M,122,1,3,99768,15266154.577146968,1995806.7620982195,13
26,CA - Redding,114,1,5,28867,14120210.059679383,2873385.5610865084,1
27,CA - Sacramento,128,1,20,209129,60445348.468232505,11358022.27928108,5
28,CA - Salinas,115,1,4,23186,12046258.130265072,2853046.20488574,1
29,CA - San Bernardino,126,1,22,91971,42902765.35808312,9906833.06562365,5
30,CA - San Diego,129,1,21,160223,67397493.89633542,14120130.784341604,5
31,CA - San Francisco,127,1,16,235356,42679424.90513224,8549964.691101944,19
32,CA - San Jose,122,1,9,79620,38681637.587862976,6549608.049528038,18
33,CA - San Luis Obispo,85,1,4,8538,10559372.427781098,1338721.4574879904,14
34,CA - San Mateo County,122,1,6,109780,29945982.877237275,4759570.497823753,18
35,CA - Santa Barbara,105,1,4,16642,8330609.297370497,1929172.1168766492,15
36,CA - Santa Cruz,95,1,3,14530,9392433.948786698,1481822.55293144,3
37,CA - Santa Rosa,103,1,7,13812,11757015.402071206,2290567.5891292994,15
38,CA - Stockton,108,1,6,33973,15007137.081486944,2274176.6122326693,15
39,CA - Ventura,119,1,7,33620,25139053.07586299,4139645.829540394,18
40,CO - Boulder,84,1,4,19467,6110525.956003637,1272360.9755404398,14
41,CO - Colorado Springs,121,1,6,47152,7859930.724566344,2075591.2971168088,1
42,CO - Denver,128,2,21,238556,45316212.84484018,9520086.722352458,0
43,CO - Fort Collins,114,2,3,17916,5055679.190187176,1776939.6903730305,17
44,CO - Grand Junction,94,1,5,23462,3984530.9674032,1371884.3755504494,3
45,CO - Greeley,116,1,5,37181,7604256.185464355,2118843.7232790315,1
46,CO - Pueblo,106,1,2,29663,5811016.526280614,1213202.07102501,15
47,CT - Bridgeport,125,1,5,62274,17010518.852150016,5040841.733973954,13
48,CT - Hartford,126,1,15,199762,21972138.34901708,9257282.590610338,19
49,CT - New Haven,127,2,12,152757,26785985.511828292,9230105.800053185,22
50,DC - Washington,128,2,18,180509,29080490.702462796,15823883.290701274,0
51,DE - Wilmington,124,3,5,62075,9296668.127522806,3573615.896720879,10
52,FL - Bradenton,116,1,3,13627,9636432.4846535,1783458.5260194903,1
53,FL - Clearwater,124,1,5,37745,15147943.805083228,2971700.483848418,13
54,FL - Fort Lauderdale,127,1,24,282575,80012897.38153332,14185434.580034057,11
55,FL - Fort Myers,129,1,9,119886,32944785.05835587,6252951.021884004,18
56,FL - Gainesville,126,1,6,65339,14524870.018790584,3447315.0640500807,13
57,FL - Hudson,118,1,5,27379,24073358.784817103,3064842.4945685198,1
58,FL - Jacksonville,128,2,14,118312,41248681.395791,9212560.316221256,22
59,FL - Lakeland,116,1,3,24029,6582605.466987773,1375198.0317141793,1
60,FL - Miami,126,1,26,171188,87312541.71047507,16972722.497234106,11
61,FL - Ocala,123,1,4,34534,14382459.682010453,2715080.475416181,13
62,FL - Orlando,126,1,28,306775,80808093.01658837,16665131.768946758,11
63,FL - Ormond Beach,124,1,4,77493,8510012.570695551,2525887.6540886085,13
64,FL - Panama City,113,1,3,15721,7307573.211251958,1429215.0946647506,15
65,FL - Pensacola,128,2,15,68965,27690118.41566981,5083682.322231405,7
66,FL - Sarasota,127,1,5,83318,13680674.671714151,2630706.445186107,13
67,FL - St. Petersburg,119,1,6,25932,20174951.451601975,3218006.1474929447,1
68,FL - Tallahassee,124,2,13,61219,15115570.920410914,4318748.313790287,7
69,FL - Tampa,127,1,10,79222,33324055.289149597,6015990.891947581,18
70,GA - Albany,105,1,3,36905,4264757.995645898,1387968.6069324508,15
71,GA - Atlanta,129,2,52,404241,88109160.3620333,23815078.167244293,2
72,GA - Augusta,129,2,10,96694,13774238.51015339,4146978.387367902,7
73,GA - Columbus,114,2,5,35685,5071336.18990526,1675252.1582551796,17
74,GA - Macon,124,1,13,58930,14398377.128015283,4468123.646078297,18
75,GA - Rome,111,2,4,22099,7260188.288364758,1916463.0911592508,17
76,GA - Savannah,121,2,11,67801,16365177.303565646,4694965.764826446,7
77,HI - Honolulu,113,1,14,117147,14370269.647860335,5686219.333200596,18
78,IA - Cedar Rapids,118,1,2,23378,4590625.22978097,1384629.8695277788,1
79,IA - Davenport,127,2,6,50855,8685088.463665932,3156145.5055738627,4
80,IA - Des Moines,125,1,10,70365,12184635.869766662,3916663.267722088,13
81,IA - Dubuque,93,1,2,10349,2050515.85757886,724008.9805163897,3
82,IA - Iowa City,121,1,6,137040,6519737.181697498,2520981.9869031897,13
83,IA - Mason City,109,1,1,37824,2067267.7223461503,758850.3100647802,15
84,IA - Sioux City,102,2,3,20663,3435412.824151051,1137667.8590425898,17
85,IA - Waterloo,114,1,3,30628,3031527.7404147917,1168864.7827958297,1
86,ID - Boise,122,2,7,138599,7644348.519339072,2998837.875927179,4
87,ID - Idaho Falls,96,1,3,14533,2638150.8480728124,798580.8043998199,3
88,IL - Aurora,101,1,2,10346,6819580.130915304,1311225.6453826493,3
89,IL - Bloomington,95,1,3,15546,4364602.885596204,1262554.329317309,3
90,IL - Blue Island,127,1,8,96254,22094249.14151347,6380571.880084369,18
91,IL - Chicago,130,1,27,499287,58499597.091220684,18252161.343273096,23
92,IL - Elgin,120,1,5,69015,17662430.049157493,4168624.4380901535,13
93,IL - Evanston,129,1,6,315348,18780995.15812324,5216894.541088001,8
